district_id,district_name,channel_title,url,status
174801,STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,,,not_found
017901,BORDEN COUNTY ISD,,,not_found
015839,PROMESA ACADEMY CHARTER SCHOOL,,,not_found
223904,WELLMAN-UNION CISD,,,not_found
035903,NAZARETH ISD,,,not_found
069902,NUECES CANYON CISD,,,not_found
240904,WEBB CISD,,,not_found
037909,WELLS ISD,,,not_found
050904,OGLESBY ISD,,,not_found
041901,BRONTE ISD,,,not_found
058909,SANDS CISD,,,not_found
140907,SPRINGLAKE-EARTH ISD,,,not_found
048901,EDEN CISD,,,not_found
186901,BUENA VISTA ISD,,,not_found
072904,BLUFF DALE ISD,,,not_found
069901,ROCKSPRINGS ISD,,,not_found
138902,KNOX CITY-O'BRIEN CISD,,,not_found
063903,SPUR ISD,,,not_found
101877,ELEVATE COLLEGIATE CHARTER SCHOOL,,,not_found
177903,BLACKWELL CISD,,,not_found
183801,PANOLA CHARTER SCHOOL,,,not_found
090903,MCLEAN ISD,,,not_found
148902,FOLLETT ISD,,,not_found
067908,RISING STAR ISD,,,not_found
096905,TURKEY-QUITAQUE ISD,,,not_found
173901,MOTLEY COUNTY ISD,,,not_found
228905,APPLE SPRINGS ISD,,,not_found
193801,BIG SPRINGS CHARTER SCHOOL,,,not_found
182905,STRAWN ISD,,,not_found
107908,MURCHISON ISD,,,not_found
109910,MOUNT CALM ISD,,,not_found
018905,WALNUT SPRINGS ISD,,,not_found
042905,PANTHER CREEK CISD,,,not_found
015843,PRELUDE PREPARATORY CHARTER SCHOOL,,,not_found
238904,GRANDFALLS-ROYALTY ISD,,,not_found
244901,HARROLD ISD,,,not_found
214902,SAN ISIDRO ISD,,,not_found
178801,DR M L GARZA-GONZALEZ CHARTER SCHOOL,,,not_found
195902,BALMORHEA ISD,,,not_found
198902,CALVERT ISD,,,not_found
228904,CENTERVILLE ISD,,,not_found
224901,THROCKMORTON COLLEGIATE ISD,,,not_found
168902,LORAINE ISD,,,not_found
242906,FORT ELLIOTT CISD,,,not_found
104903,RULE ISD,,,not_found
047903,GUSTINE ISD,,,not_found
169909,PRAIRIE VALLEY ISD,,,not_found
153907,WILSON ISD,,,not_found
084903,HIGH ISLAND ISD,,,not_found
092801,EAST TEXAS CHARTER SCHOOLS,,,not_found
098903,PRINGLE-MORSE CISD,,,not_found
072910,MORGAN MILL ISD,,,not_found
131001,KENEDY COUNTY WIDE CSD,,,not_found
160905,LOHN ISD,,,not_found
022004,TERLINGUA CSD,,,not_found
206902,RICHLAND SPRINGS ISD,,,not_found
062902,NORDHEIM ISD,,,not_found
209902,MORAN ISD,,,not_found
222901,TERRELL COUNTY ISD,,,not_found
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,,,not_found
135001,GUTHRIE CSD,,,not_found
063906,PATTON SPRINGS ISD,,,not_found
127905,LUEDERS-AVOCA ISD,,,not_found
143904,VYSEHRAD ISD,,,not_found
019913,HUBBARD ISD,,,not_found
213801,BRAZOS RIVER CHARTER SCHOOL,,,not_found
090905,GRANDVIEW-HOPKINS ISD,,,not_found
