district_id,district_name,county,enrollment,website_url,video_platform,video_url,archive_start_year,youtube_channel_id,notes,confidence,last_checked,video_status
032902,PITTSBURG ISD,CAMP COUNTY,2245,https://www.pittsburgisd.net,granicus,https://pittsburg.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
034901,ATLANTA ISD,CASS COUNTY,1929,https://www.atlantaschools.org,granicus,https://atlantatexas.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
039904,BELLEVUE ISD,CLAY COUNTY,234,https://www.bellevueisd.org,granicus,https://bellevue.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
044902,WELLINGTON ISD,COLLINGSWORTH COUNTY,534,https://www.wellingtonisd.net,granicus,https://wellington.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
045902,COLUMBUS ISD,COLORADO COUNTY,1659,https://www.columbusisd.org,granicus,https://columbus.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
046901,NEW BRAUNFELS ISD,COMAL COUNTY,9893,https://www.nbisd.org,granicus,https://newbraunfels.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
049901,GAINESVILLE ISD,COOKE COUNTY,3111,https://www.gainesvilleisd.org,granicus,https://gainesville.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
050909,JONESBORO ISD,CORYELL COUNTY,337,https://www.jonesboroisd.net,granicus,https://jonesboro.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
060902,COOPER ISD,DELTA COUNTY,903,https://www.cooperisd.net,granicus,https://cooper.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
066902,SAN DIEGO ISD,DUVAL COUNTY,1453,https://www.sdisd.net,granicus,https://sandiego.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
072902,DUBLIN ISD,ERATH COUNTY,1125,https://www.dublinisd.us,granicus,https://dublin.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
074912,TRENTON ISD,FANNIN COUNTY,712,https://www.trentonisd.org,granicus,https://trenton.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
085902,POST ISD,GARZA COUNTY,686,https://www.postisd.net,granicus,https://post.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
091902,COLLINSVILLE ISD,GRAYSON COUNTY,600,https://www.collinsvilleisd.org,granicus,https://collinsville.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
093903,IOLA ISD,GRIMES COUNTY,626,https://www.iolaisd.net,granicus,https://iola.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
095904,PETERSBURG ISD,HALE COUNTY,243,https://www.petersburgisd.net,granicus,https://petersburg.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
096904,MEMPHIS ISD,HALL COUNTY,345,https://www.memphisisd.net,granicus,https://memphis.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
105902,SAN MARCOS CISD,HAYS COUNTY,8222,https://www.smcisd.net,granicus,https://sanmarcos.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
105904,DRIPPING SPRINGS ISD,HAYS COUNTY,8712,https://www.dsisd.net,granicus,https://drippingsprings.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
111901,GRANBURY ISD,HOOD COUNTY,7962,https://www.granburyisd.org,granicus,https://granbury.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
