district_id,district_name,county,enrollment,website_url,video_platform,video_url,archive_start_year,youtube_channel_id,notes,confidence,last_checked,video_status,score
016902,BLANCO ISD,BLANCO COUNTY,1102,https://www.blancoisd.org,website_archive,https://www.blancoisd.org/index.php?pageID=smartSiteFeed&psqFeed=true&articleID=77518375,,,Crawler found: website_archive. Crawled 2 pages. Score: 45/100.,low,2026-04-21,crawler_found,45
018901,CLIFTON ISD,BOSQUE COUNTY,1001,https://www.cliftonisd.org,youtube,https://www.youtube.com/@cliftonisd,,@cliftonisd,"Crawler found: boardbook, facebook_live, youtube. Crawled 2 pages. Score: 85/100.",high,2026-04-21,crawler_found,85
018902,MERIDIAN ISD,BOSQUE COUNTY,382,https://www.meridianisd.org,facebook_live,https://www.meridianisd.org/live-feed,,,Crawler found: facebook_live. Crawled 1 pages. Score: 78/100.,medium,2026-04-21,crawler_found,78
018903,MORGAN ISD,BOSQUE COUNTY,137,https://www.morganisd.org,website_archive,https://www.morganisd.org/70440_3,,,Crawler found: website_archive. Crawled 8 pages. Score: 60/100.,medium,2026-04-21,crawler_found,60
018904,VALLEY MILLS ISD,BOSQUE COUNTY,669,https://www.vmisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/2037\,,,"Crawler found: boardbook, facebook_live. Crawled 1 pages. Score: 78/100.",medium,2026-04-21,crawler_found,78
018906,IREDELL ISD,BOSQUE COUNTY,144,https://www.iredell-isd.com,youtube,https://www.youtube.com/@IREDELLISD,,@IREDELLISD,"Crawler found: facebook_live, youtube. Crawled 6 pages. Score: 85/100.",high,2026-04-21,crawler_found,85
018907,KOPPERL ISD,BOSQUE COUNTY,191,https://www.kopperlisd.org,website_archive,https://www.kopperlisd.org/board-of-education,,,Crawler found: website_archive. Crawled 7 pages. Score: 60/100.,medium,2026-04-21,crawler_found,60
018908,CRANFILLS GAP ISD,BOSQUE COUNTY,116,https://www.cranfillsgapisd.net,website_archive,https://www.cranfillsgapisd.net/school-board,,,Crawler found: website_archive. Crawled 8 pages. Score: 60/100.,medium,2026-04-21,crawler_found,60
019901,DEKALB ISD,BOWIE COUNTY,898,https://www.dekalbisd.net,youtube,https://www.youtube.com/channel/UCMReu_p1NIEMHb-09J_7gwg,,channel/UCMReu_p1NIEMHb-09J_7gwg,"Crawler found: boardbook, youtube. Crawled 8 pages. Score: 100/100.",high,2026-04-21,crawler_found,100
019902,HOOKS ISD,BOWIE COUNTY,914,https://www.hooksisd.net,youtube,https://www.youtube.com/user/TheHooksHornets,,@TheHooksHornets,Crawler found: youtube. Crawled 3 pages. Score: 50/100.,low,2026-04-21,crawler_found,50
019903,MAUD ISD,BOWIE COUNTY,450,https://www.maudisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/1889,,,Crawler found: boardbook. Crawled 1 pages. Score: 78/100.,medium,2026-04-21,crawler_found,78
019906,REDWATER ISD,BOWIE COUNTY,1103,https://www.redwaterisd.org,boardbook,https://meetings.boardbook.org/public/Organization/836,,,Crawler found: boardbook. Crawled 1 pages. Score: 50/100.,low,2026-04-21,crawler_found,50
019909,SIMMS ISD,BOWIE COUNTY,480,https://www.simmsisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/2061,,,Crawler found: boardbook. Crawled 7 pages. Score: 100/100.,high,2026-04-21,crawler_found,100
019910,MALTA ISD,BOWIE COUNTY,223,https://www.maltaisd.net,youtube,https://www.youtube.com/channel/UCpuhwcAOWy4U6HgLU9jyERg,,channel/UCpuhwcAOWy4U6HgLU9jyERg,"Crawler found: facebook_live, youtube. Crawled 1 pages. Score: 78/100.",medium,2026-04-21,crawler_found,78
019911,RED LICK ISD,BOWIE COUNTY,504,https://www.redlickisd.com,facebook_live,https://www.redlickisd.com/live-feed,,,Crawler found: facebook_live. Crawled 1 pages. Score: 78/100.,medium,2026-04-21,crawler_found,78
019912,PLEASANT GROVE ISD,BOWIE COUNTY,2366,https://www.pgisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/841,,,Crawler found: boardbook. Crawled 3 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
019913,HUBBARD ISD,BOWIE COUNTY,64,https://www.hubbardisd.net,website_archive,https://www.hubbardisd.net/75591_2,,,Crawler found: website_archive. Crawled 7 pages. Score: 60/100.,medium,2026-04-25,crawler_found,60
019914,LEARY ISD,BOWIE COUNTY,119,https://www.learyisd.net,website_archive,https://www.learyisd.net/board-of-education,,,Crawler found: website_archive. Crawled 3 pages. Score: 35/100.,low,2026-04-21,crawler_found,35
020910,DAMON ISD,BRAZORIA COUNTY,107,https://www.damonisd.net,website_archive,https://www.damonisd.net/,,,Crawler found: website_archive. Crawled 8 pages. Score: 35/100.,low,2026-04-21,crawler_found,35
021901,COLLEGE STATION ISD,BRAZOS COUNTY,14314,https://www.csisd.org,youtube,https://www.csisd.org/our-district/board,,,Crawler found: youtube. Crawled 8 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
021902,BRYAN ISD,BRAZOS COUNTY,16044,https://www.bryanisd.org,youtube,https://www.youtube.com/user/bryanisd,,@bryanisd,"Crawler found: boardbook, facebook_live, youtube. Crawled 3 pages. Score: 85/100.",high,2026-04-21,crawler_found,85
022901,ALPINE ISD,BREWSTER COUNTY,905,https://www.alpineschools.org,youtube,https://www.youtube.com/channel/UCKz7Kb20fRC1NOA_vAJpeMA,,channel/UCKz7Kb20fRC1NOA_vAJpeMA,"Crawler found: facebook_live, youtube. Crawled 2 pages. Score: 100/100.",high,2026-04-21,crawler_found,100
022902,MARATHON ISD,BREWSTER COUNTY,58,https://www.marathonisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/805\\\,,,"Crawler found: boardbook, facebook_live. Crawled 2 pages. Score: 85/100.",high,2026-04-21,crawler_found,85
022903,SAN VICENTE ISD,BREWSTER COUNTY,9,https://www.svisd.com,website_archive,https://www.svisd.com/live-feed,,,Crawler found: website_archive. Crawled 5 pages. Score: 60/100.,medium,2026-04-21,crawler_found,60
023902,SILVERTON ISD,BRISCOE COUNTY,204,https://www.silvertonisd.net,youtube,https://www.youtube.com/channel/UCjBDjOtbhWcPULcv3gI-eyQ,,channel/UCjBDjOtbhWcPULcv3gI-eyQ,"Crawler found: boardbook, youtube. Crawled 8 pages. Score: 100/100.",high,2026-04-21,crawler_found,100
024901,BROOKS COUNTY ISD,BROOKS COUNTY,1180,https://www.bcisd.net,website_archive,https://www.bcisd.net/school-board,,,Crawler found: website_archive. Crawled 6 pages. Score: 60/100.,medium,2026-04-21,crawler_found,60
025901,BANGS ISD,BROWN COUNTY,793,https://www.bangsisd.net,youtube,https://www.youtube.com/@BangsDragonsTx,,@BangsDragonsTx,Crawler found: youtube. Crawled 1 pages. Score: 78/100.,medium,2026-04-21,crawler_found,78
025902,BROWNWOOD ISD,BROWN COUNTY,3393,https://www.brownwoodisd.org,youtube,https://www.youtube.com/@bwdisd,,@bwdisd,"Crawler found: boardbook, vimeo, youtube. Crawled 7 pages. Score: 85/100.",high,2026-04-25,crawler_found,85
025904,BLANKET ISD,BROWN COUNTY,166,https://www.blanketisd.org,website_archive,https://www.blanketisd.org/board-of-trustees,,,Crawler found: website_archive. Crawled 2 pages. Score: 45/100.,low,2026-04-21,crawler_found,45
025905,MAY ISD,BROWN COUNTY,243,https://www.mayisd.org,facebook_live,https://www.mayisd.com/live-feed,,,Crawler found: facebook_live. Crawled 2 pages. Score: 100/100.,high,2026-04-21,crawler_found,100
025906,ZEPHYR ISD,BROWN COUNTY,220,https://www.zephyrisd.net,website_archive,https://zephyrisd.net/school-board-members/,,,Crawler found: website_archive. Crawled 1 pages. Score: 38/100.,low,2026-04-21,crawler_found,38
025908,BROOKESMITH ISD,BROWN COUNTY,227,https://www.brookesmithisd.net,website_archive,https://brookesmithisd.net/board-of-trustees,,,Crawler found: website_archive. Crawled 4 pages. Score: 45/100.,low,2026-04-21,crawler_found,45
025909,EARLY ISD,BROWN COUNTY,1067,https://www.earlyisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/2033,,,Crawler found: boardbook. Crawled 4 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
026901,CALDWELL ISD,BURLESON COUNTY,1952,https://www.caldwellisd.net,youtube,https://www.youtube.com/c/CaldwellISD,,@CaldwellISD,"Crawler found: facebook_live, youtube. Crawled 1 pages. Score: 78/100.",medium,2026-04-21,crawler_found,78
026902,SOMERVILLE ISD,BURLESON COUNTY,567,https://www.somervilleisd.org,boardbook,https://meetings.boardbook.org/Public/Organization/1777\,,,"Crawler found: boardbook, facebook_live. Crawled 2 pages. Score: 85/100.",high,2026-04-21,crawler_found,85
